DATE,TIME,QUERY_RAW_PHRASE,ITEM_COUNT,LOG_TIME
2020-07-13,14:16:04,DC/DC 5V 1W,918,298
2020-07-13,14:16:03,"1kV 0,001kW 100kohm",1,41
2020-07-13,14:16:02,5kV 10W 2500mA,7,44
2020-07-13,14:15:02,kabel,79893,681
2020-07-04,21:01:04,DC/DC 5V 1W,918,359
2020-07-04,21:01:03,"1kV 0,001kW 100kohm",1,41
2020-07-04,21:01:01,5kV 10W 2500mA,7,58
2020-07-04,21:00:02,kabel,80843,679
2020-07-04,20:46:04,DC/DC 5V 1W,918,354
2020-07-04,20:46:03,"1kV 0,001kW 100kohm",1,33
2020-07-04,20:46:01,5kV 10W 2500mA,7,49
2020-07-04,20:45:02,kabel,80843,754
2020-07-04,20:31:04,DC/DC 5V 1W,918,335
2020-07-04,20:31:03,"1kV 0,001kW 100kohm",1,40
2020-07-04,20:31:02,5kV 10W 2500mA,7,66
2020-07-04,20:30:02,kabel,80843,651
2020-07-04,20:16:04,DC/DC 5V 1W,918,323
2020-07-04,20:16:03,"1kV 0,001kW 100kohm",1,52
2020-07-04,20:16:01,5kV 10W 2500mA,7,52
2020-07-04,20:15:02,kabel,80843,641
2020-07-04,20:01:04,DC/DC 5V 1W,918,317
2020-07-04,20:01:03,"1kV 0,001kW 100kohm",1,43
2020-07-04,20:01:02,5kV 10W 2500mA,7,50
2020-07-04,20:00:02,kabel,80843,616
2020-07-04,19:46:04,DC/DC 5V 1W,918,284
2020-07-04,19:46:03,"1kV 0,001kW 100kohm",1,34
2020-07-04,19:46:02,5kV 10W 2500mA,7,36
2020-07-04,19:45:02,kabel,80843,666
2020-07-04,19:31:04,DC/DC 5V 1W,918,286
2020-07-04,19:31:03,"1kV 0,001kW 100kohm",1,53
2020-07-04,19:31:01,5kV 10W 2500mA,7,40
2020-07-04,19:30:02,kabel,80843,724
2020-07-04,19:16:04,DC/DC 5V 1W,918,351
2020-07-04,19:16:03,"1kV 0,001kW 100kohm",1,42
2020-07-04,19:16:02,5kV 10W 2500mA,7,49
2020-07-04,19:15:02,kabel,80843,668
2020-07-04,19:01:04,DC/DC 5V 1W,918,266
2020-07-04,19:01:03,"1kV 0,001kW 100kohm",1,48
2020-07-04,19:01:01,5kV 10W 2500mA,7,46
2020-07-04,19:00:02,kabel,80843,667
2020-07-04,18:46:04,DC/DC 5V 1W,918,370
2020-07-04,18:46:03,"1kV 0,001kW 100kohm",1,43
2020-07-04,18:46:02,5kV 10W 2500mA,7,37
2020-07-04,18:45:02,kabel,80843,643
2020-07-04,18:31:04,DC/DC 5V 1W,918,307
2020-07-04,18:31:03,"1kV 0,001kW 100kohm",1,51
2020-07-04,18:31:02,5kV 10W 2500mA,7,54
2020-07-04,18:30:02,kabel,80843,670
2020-07-04,18:16:04,DC/DC 5V 1W,918,300
2020-07-04,18:16:03,"1kV 0,001kW 100kohm",1,44
2020-07-04,18:16:01,5kV 10W 2500mA,7,51
2020-07-04,18:15:02,kabel,80843,630
2020-07-04,18:01:03,DC/DC 5V 1W,918,285
2020-07-04,18:01:03,"1kV 0,001kW 100kohm",1,41
2020-07-04,18:01:01,5kV 10W 2500mA,7,45
2020-07-04,18:00:02,kabel,80843,651
2020-07-04,17:46:04,DC/DC 5V 1W,918,304
2020-07-04,17:46:03,"1kV 0,001kW 100kohm",1,48
2020-07-04,17:46:02,5kV 10W 2500mA,7,52
2020-07-04,17:45:03,kabel,80843,642
2020-07-04,17:31:04,DC/DC 5V 1W,918,301
2020-07-04,17:31:03,"1kV 0,001kW 100kohm",1,43
2020-07-04,17:31:02,5kV 10W 2500mA,7,40
2020-07-04,17:30:02,kabel,80843,652
2020-07-04,17:16:04,DC/DC 5V 1W,918,303
2020-07-04,17:16:03,"1kV 0,001kW 100kohm",1,39
2020-07-04,17:16:02,5kV 10W 2500mA,7,44
2020-07-04,17:15:02,kabel,80843,667
2020-07-04,17:01:04,DC/DC 5V 1W,918,322
2020-07-04,17:01:03,"1kV 0,001kW 100kohm",1,37
2020-07-04,17:01:01,5kV 10W 2500mA,7,47
2020-07-04,17:00:02,kabel,80843,590
2020-07-04,16:46:04,DC/DC 5V 1W,918,305
2020-07-04,16:46:04,"1kV 0,001kW 100kohm",1,38
2020-07-04,16:46:02,5kV 10W 2500mA,7,39
2020-07-04,16:45:02,kabel,80843,685
2020-07-04,16:31:05,DC/DC 5V 1W,918,328
2020-07-04,16:31:04,"1kV 0,001kW 100kohm",1,44
2020-07-04,16:31:02,5kV 10W 2500mA,7,37
2020-07-04,16:30:03,kabel,80843,594
2020-07-04,16:16:04,DC/DC 5V 1W,918,302
2020-07-04,16:16:03,"1kV 0,001kW 100kohm",1,60
2020-07-04,16:16:02,5kV 10W 2500mA,7,75
2020-07-04,16:15:03,kabel,80843,838
2020-07-04,16:01:05,DC/DC 5V 1W,918,373
2020-07-04,16:01:04,"1kV 0,001kW 100kohm",1,44
2020-07-04,16:01:02,5kV 10W 2500mA,7,53
